dallas_idx,name,series_code,line_no,bea_label
155,Commercial & Vocational Schools,DVEDRG,297,Commercial and vocational schools (99)
156,Legal Services,DGALRG,299,Legal services
157,Tax Preparation & Other Related Services,DTAPRG,301,Tax preparation and other related services
158,Employment Agency Services,DGENRG,302,Employment agency services
159,Other Personal Business Services,DTHERG,303,Other personal business services
160,Labor Organization Dues,DUNSRG,304,Labor organization dues
161,Professional Association Dues,DAXSRG,305,Professional association dues
162,Funeral & Burial Services,DFUNRG,306,Funeral and burial services
163,Hairdressing Salons & Personal Grooming Establishments,DBBBRG,309,Hairdressing salons and personal grooming establishments
164,Miscellaneous Personal Care Services,DMPCRG,310,Miscellaneous personal care services
165,Laundry & Dry Cleaning Services,DDRYRG,312,Laundry and drycleaning services
166,"Clothing Repair, Rental & Alterations",DLGRRG,313,"Clothing repair, rental, and alterations"
167,Repair & Hire of Footwear,DSCLRG,314,Repair and hire of footwear
168,Child Care,DCHCRG,316,Child care
169,Social Assistance,DSCWRG,317,Social assistance
170,Social Advocacy & Civic & Social Organizations,DSADRG,324,Social advocacy and civic and social organizations
171,Religious Organizations' Services to Households,DRELRG,325,Religious organizations' services to households
172,Sales Receipts: Foundations/Grant Making/Giving Services to Household,DGIVRG,326,Foundations and grantmaking and giving services to households
173,Domestic Services,DDMSRG,328,Domestic services
174,"Moving, Storage & Freight Services",DMSERG,329,"Moving, storage, and freight services"
175,"Repair of Furniture, Furnishings & Floor Coverings",DFRERG,330,"Repair of furniture, furnishings, and floor coverings"
176,Repair of Household Appliances,DERERG,331,Repair of household appliances
177,Other Household Services,DMHSRG,332,Other household services
178,Final Consumption Expenditures of Nonprofit Institutions Serving Households,DNPIRG,342,Final consumption expenditures of nonprofit institutions serving households (NPISHs)
